Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Clicks,Conversions,CTR,CPC,Conversion_Rate,Success
CAMP-E2ATN2,44142,34,LinkedIn,Carousel,35-44,Female,Germany,420,54,0.7,105.1,12.86,0
CAMP-TWDL9Z,29341,15,YouTube,Image,55+,Male,India,2127,240,4.69,13.79,11.28,1
CAMP-S13C9X,16085,30,Instagram,Story,18-24,All,UK,164,17,0.52,98.08,10.37,0
CAMP-QYM52X,5795,32,LinkedIn,Story,55+,All,US,393,9,4.82,14.75,2.29,0
CAMP-G8P6BE,42255,11,Facebook,Text,35-44,All,Germany,1226,163,0.78,34.47,13.3,0
CAMP-FFLZM7,49969,35,Google,Image,55+,All,US,6604,678,3.07,7.57,10.27,1
CAMP-64JWTE,6683,33,LinkedIn,Carousel,35-44,Female,India,428,35,3.8,15.61,8.18,1
CAMP-KTSG7F,20123,34,LinkedIn,Story,35-44,Male,Germany,1483,161,4.4,13.57,10.86,1
CAMP-XZV4U3,33630,51,Google,Image,45-54,All,Canada,4627,446,3.56,7.27,9.64,1
CAMP-BBXUX1,2969,13,LinkedIn,Story,35-44,Female,UK,243,18,4.81,12.22,7.41,0
CAMP-OXRWK8,48138,48,Facebook,Carousel,35-44,All,India,2151,245,2.01,22.38,11.39,0
CAMP-R2YKCC,37266,24,Facebook,Story,25-34,All,India,5427,439,4.24,6.87,8.09,1
CAMP-PRHVLZ,33562,8,Google,Text,18-24,Female,UK,3301,486,3.28,10.17,14.72,1
CAMP-049ENU,35332,46,YouTube,Text,45-54,Female,UK,1744,149,3.35,20.26,8.54,1
CAMP-LQJIDK,1507,12,Instagram,Story,45-54,Male,Canada,17,1,0.57,88.65,5.88,0
CAMP-NWI5FL,13781,34,YouTube,Image,45-54,Male,India,1205,29,4.69,11.44,2.41,0
CAMP-UL1RSR,14007,26,LinkedIn,Image,25-34,All,India,173,9,0.8,80.97,5.2,0
CAMP-LA8S8H,15359,28,Instagram,Image,35-44,All,US,1047,18,2.63,14.67,1.72,0
CAMP-MBR5XQ,11883,24,Google,Story,18-24,Male,Germany,2453,357,4.88,4.84,14.55,1
CAMP-T4P501,12439,41,Google,Image,55+,Male,Germany,1010,19,2.23,12.32,1.88,0
CAMP-NOUHTC,44564,12,Instagram,Carousel,35-44,Female,US,3954,179,4.18,11.27,4.53,0
CAMP-S1K9YE,31178,32,Facebook,Text,25-34,Male,Germany,1852,263,2.61,16.83,14.2,0
CAMP-9O2M71,24150,19,Instagram,Carousel,35-44,Male,UK,1938,243,2.87,12.46,12.54,0
CAMP-HSSBEL,17982,58,LinkedIn,Image,35-44,All,Germany,1191,50,3.98,15.1,4.2,0
CAMP-RQVSLW,12222,33,Facebook,Carousel,25-34,Male,Germany,2079,29,4.83,5.88,1.39,0
CAMP-F90KM3,34256,27,Google,Image,45-54,All,US,6434,933,4.36,5.32,14.5,1
CAMP-TZK3NY,34950,11,Instagram,Story,45-54,Male,Canada,2437,329,2.34,14.34,13.5,0
CAMP-9V20YA,20482,40,YouTube,Carousel,18-24,Female,Germany,186,18,0.64,110.12,9.68,0
CAMP-R821UZ,49151,24,YouTube,Story,18-24,Male,Germany,2723,396,2.63,18.05,14.54,0
CAMP-VGWW4F,39841,31,LinkedIn,Story,45-54,Male,Canada,2689,317,3.99,14.82,11.79,1
CAMP-YB8DAL,47265,56,YouTube,Video,55+,Male,US,3135,88,3.32,15.08,2.81,0
CAMP-FYO175,42152,30,Instagram,Image,35-44,All,Canada,3988,484,3.27,10.57,12.14,1
CAMP-0CEHLX,3724,36,Instagram,Text,55+,Female,US,69,7,1.05,53.97,10.14,0
CAMP-SLG6MM,35031,15,YouTube,Image,35-44,Male,UK,1340,25,2.71,26.14,1.87,0
CAMP-1ZXYVG,5609,59,Instagram,Text,45-54,All,US,453,24,4.09,12.38,5.3,0
CAMP-IUI9KK,20672,23,LinkedIn,Image,18-24,Female,UK,165,10,0.82,125.28,6.06,0
CAMP-HZLM72,18273,53,Facebook,Story,18-24,All,UK,1010,108,1.81,18.09,10.69,0
CAMP-JEYN93,21081,47,LinkedIn,Carousel,55+,All,US,557,13,2.66,37.85,2.33,0
CAMP-82KKZM,43908,18,LinkedIn,Carousel,18-24,Female,India,896,71,1.14,49.0,7.92,0
CAMP-PJRHT7,30281,34,Instagram,Video,45-54,Male,US,2361,26,3.02,12.83,1.1,0
CAMP-ZEWVIY,49653,39,Facebook,Text,55+,All,Germany,2222,32,2.08,22.35,1.44,0
CAMP-TWBOZD,47719,32,Instagram,Text,35-44,All,Germany,1128,100,1.1,42.3,8.87,0
CAMP-1AT7O7,10861,56,Google,Text,18-24,Male,India,307,31,0.69,35.38,10.1,0
CAMP-5RH8LX,6590,9,Instagram,Story,25-34,Male,UK,597,57,3.17,11.04,9.55,1
CAMP-6DUT07,26515,47,Instagram,Text,18-24,Female,India,3038,334,4.42,8.73,10.99,1
CAMP-6G5G79,3889,26,Instagram,Carousel,35-44,Female,Germany,336,7,4.16,11.57,2.08,0
CAMP-OR7875,46663,22,Facebook,Story,55+,Female,India,5767,422,4.18,8.09,7.32,0
CAMP-AUD9K9,33782,47,Instagram,Image,35-44,Male,US,1528,170,2.47,22.11,11.13,0
CAMP-TR74QG,7679,29,Facebook,Text,25-34,All,India,640,61,2.66,12.0,9.53,0
CAMP-EFQJG0,32390,52,YouTube,Text,45-54,All,UK,664,80,1.32,48.78,12.05,0
CAMP-2U1G46,5290,38,Google,Image,18-24,Female,US,546,60,3.0,9.69,10.99,0
CAMP-3SDYGF,1161,43,Facebook,Text,55+,Male,Canada,212,21,4.88,5.48,9.91,1
CAMP-LIJI18,14525,57,YouTube,Image,45-54,All,Germany,229,3,0.82,63.43,1.31,0
CAMP-K0AXYC,33620,13,Facebook,Story,35-44,Female,Germany,4162,465,4.41,8.08,11.17,1
CAMP-ELOS6Z,1456,30,Facebook,Carousel,55+,All,India,82,5,2.05,17.76,6.1,0
CAMP-LE6KWH,39943,30,Google,Image,45-54,All,US,3978,367,2.81,10.04,9.23,0
CAMP-EF0VOT,26349,59,LinkedIn,Video,55+,Male,Canada,1099,102,3.23,23.98,9.28,1
CAMP-QTXHI1,11671,12,LinkedIn,Image,25-34,Male,US,875,43,4.96,13.34,4.91,0
CAMP-5CQZCU,21616,18,Facebook,Text,25-34,All,Germany,1499,190,2.6,14.42,12.68,0
CAMP-CTSUFL,27990,32,Instagram,Story,18-24,Female,US,3343,117,4.59,8.37,3.5,0
CAMP-SEHUDS,42399,20,YouTube,Story,18-24,Male,Canada,1237,160,1.31,34.28,12.93,0
CAMP-3QSQCQ,5148,53,Instagram,Image,25-34,All,India,388,39,3.1,13.27,10.05,1
CAMP-30O30U,4314,12,Instagram,Carousel,55+,Male,UK,206,13,1.9,20.94,6.31,0
CAMP-BMC97C,43506,7,Facebook,Video,25-34,Male,US,1588,231,1.09,27.4,14.55,0
CAMP-7BO119,36642,37,Facebook,Story,18-24,Male,UK,734,24,0.83,49.92,3.27,0
CAMP-XP9N56,6224,16,Facebook,Text,25-34,All,Germany,228,16,1.16,27.3,7.02,0
CAMP-NYXTXM,39163,49,Facebook,Text,25-34,Female,India,2345,141,1.64,16.7,6.01,0
CAMP-GTT0IA,42767,49,LinkedIn,Carousel,55+,Female,India,2354,179,3.49,18.17,7.6,0
CAMP-AKYTT3,36836,50,Facebook,Story,45-54,Female,US,4496,396,4.39,8.19,8.81,1
CAMP-IMJ70E,18158,26,LinkedIn,Image,18-24,Male,India,163,13,0.76,111.4,7.98,0
CAMP-3P15AH,26119,32,LinkedIn,Text,55+,All,US,272,19,1.05,96.03,6.99,0
CAMP-DBVZB0,28904,11,Facebook,Carousel,25-34,Male,US,1973,209,3.13,14.65,10.59,1
CAMP-OIH5CS,41735,59,Google,Story,25-34,Female,UK,5101,63,3.59,8.18,1.24,0
CAMP-K30LVY,45772,56,YouTube,Story,45-54,Female,India,3163,144,3.11,14.47,4.55,0
CAMP-LKFXHK,7070,56,Instagram,Story,18-24,All,US,425,11,2.89,16.64,2.59,0
CAMP-C856WP,39025,51,LinkedIn,Story,18-24,Male,UK,1994,224,4.73,19.57,11.23,1
CAMP-R97Y2L,10725,27,YouTube,Story,35-44,Female,Canada,491,35,3.53,21.84,7.13,0
CAMP-OFN1R4,37880,53,Google,Text,18-24,All,UK,3797,483,3.62,9.98,12.72,1
CAMP-KZ36U8,16077,49,Instagram,Carousel,45-54,Male,UK,1125,108,2.74,14.29,9.6,0
CAMP-UEIHX7,36987,53,Instagram,Story,35-44,Male,US,564,79,0.64,65.58,14.01,0
CAMP-4D0GJY,31159,39,LinkedIn,Video,35-44,Female,Germany,2160,271,4.73,14.43,12.55,1
CAMP-V5G10U,42787,11,Facebook,Video,25-34,Female,Germany,2664,86,2.07,16.06,3.23,0
CAMP-R5L8A7,17587,12,Google,Carousel,25-34,Male,Germany,2373,353,4.4,7.41,14.88,1
CAMP-8E9RIV,7424,15,LinkedIn,Image,18-24,Male,UK,138,3,1.79,53.8,2.17,0
CAMP-H6T1NT,49008,44,Google,Image,35-44,Female,US,5300,652,3.5,9.25,12.3,1
CAMP-MJSRD9,8261,19,Facebook,Image,25-34,Male,India,690,85,2.46,11.97,12.32,0
CAMP-Q46NOU,1867,13,Facebook,Video,45-54,Female,UK,73,4,1.95,25.58,5.48,0
CAMP-HFJ7UP,38074,21,LinkedIn,Image,25-34,Male,UK,1321,96,2.25,28.82,7.27,0
CAMP-FLN4RX,45860,38,Facebook,Text,25-34,Female,US,1852,37,1.52,24.76,2.0,0
CAMP-YJ38XR,40278,14,YouTube,Story,35-44,All,Canada,2518,188,3.29,16.0,7.47,0
CAMP-G2GZR7,42486,27,Instagram,Video,35-44,Female,UK,3384,260,2.84,12.55,7.68,0
CAMP-TXCB48,31848,35,LinkedIn,Carousel,55+,Female,Canada,877,57,2.21,36.31,6.5,0
CAMP-Y1O4IZ,12056,21,Google,Carousel,45-54,All,Canada,1373,160,3.23,8.78,11.65,1
CAMP-ASNWYW,16673,56,YouTube,Story,35-44,Male,Germany,925,115,2.84,18.02,12.43,0
CAMP-RRATAT,42474,22,LinkedIn,Video,18-24,All,US,2900,127,4.54,14.65,4.38,0
CAMP-J9A3Y3,9406,57,Facebook,Image,45-54,Female,Canada,931,55,4.7,10.1,5.91,0
CAMP-6DDFGS,47381,20,Facebook,Image,45-54,Male,US,2235,111,1.65,21.2,4.97,0
CAMP-3JONOU,36878,35,Facebook,Text,35-44,All,Germany,3674,196,2.93,10.04,5.33,0
CAMP-9IY4X4,43141,8,Facebook,Text,45-54,Male,US,2523,68,2.36,17.1,2.7,0
CAMP-1DNTCA,34554,37,Google,Image,35-44,Male,UK,5955,213,4.1,5.8,3.58,0
CAMP-GRP2U4,23986,55,YouTube,Carousel,25-34,All,Canada,712,103,1.65,33.69,14.47,0
CAMP-DTBH55,42935,13,Instagram,Carousel,55+,Male,US,2567,214,2.18,16.73,8.34,0
CAMP-RBC76U,11630,19,Google,Text,25-34,All,India,1783,238,4.18,6.52,13.35,1
CAMP-B7L8V1,29052,32,Google,Story,35-44,Female,US,2685,181,3.25,10.82,6.74,0
CAMP-ZOCFI4,10352,48,Instagram,Image,35-44,Male,Canada,618,26,2.09,16.75,4.21,0
CAMP-O6L1F9,34584,10,Instagram,Text,25-34,Female,Germany,2884,199,4.2,11.99,6.9,0
CAMP-0S9BP4,36541,31,Facebook,Text,18-24,Female,Germany,2619,191,3.31,13.95,7.29,0
CAMP-M18O1B,26660,41,Google,Image,18-24,Male,Canada,2960,251,2.63,9.01,8.48,0
CAMP-J9RM7P,42121,54,LinkedIn,Image,18-24,All,UK,790,30,1.53,53.32,3.8,0
CAMP-YXDW2Z,26622,16,Instagram,Carousel,35-44,Male,UK,1744,31,3.34,15.26,1.78,0
CAMP-CFZW0L,21900,8,Instagram,Story,45-54,Female,Germany,1384,144,3.18,15.82,10.4,1
CAMP-DALMJE,32617,45,YouTube,Story,35-44,Female,Germany,365,21,0.57,89.36,5.75,0
CAMP-GQTOAM,38967,32,LinkedIn,Image,45-54,All,Canada,2216,261,4.57,17.58,11.78,1
CAMP-DVLNKN,12823,46,LinkedIn,Video,25-34,Male,UK,612,40,3.18,20.95,6.54,0
CAMP-D669UG,10606,12,Instagram,Text,55+,Female,Germany,180,14,0.81,58.92,7.78,0
CAMP-NEKRCP,4213,11,Facebook,Text,45-54,Female,UK,302,14,3.38,13.95,4.64,0
CAMP-PRCJIW,35003,56,YouTube,Image,18-24,Female,Germany,1030,76,1.54,33.98,7.38,0
CAMP-VHDK8L,9033,12,LinkedIn,Video,35-44,All,US,199,12,2.19,45.39,6.03,0
CAMP-W2LM34,10186,36,Instagram,Carousel,25-34,Female,India,655,14,3.11,15.55,2.14,0
CAMP-9EL8HL,48056,19,LinkedIn,Image,18-24,Female,US,2796,94,3.9,17.19,3.36,0
CAMP-88KZRU,35933,36,YouTube,Image,25-34,Male,Germany,2345,137,3.9,15.32,5.84,0
CAMP-IN3OEU,43391,14,YouTube,Text,55+,Male,India,4126,176,4.67,10.52,4.27,0
CAMP-VTYT8Q,37711,57,Google,Image,35-44,Female,India,5094,712,4.97,7.4,13.98,1
CAMP-ZPKY32,41823,7,Instagram,Image,35-44,Female,Germany,3305,321,2.84,12.65,9.71,0
